Company Name,Person,Email,Primary_Designation,Alternate_Person_Name,Alternate_Email,Alternate_Designation,Website,About,Company_Phone,Company_LinkedIn,Industry,Employees,Revenue,Founded,Country,Primary_Phone,Primary_LinkedIn,Alternate2_Name,Alternate2_Email,Alternate2_Title
Rixo,,,,,,,https://www.rixo.co.uk,"RIXO is a British fashion brand founded in 2015 by best friends Henrietta Rix and Orlagh McCloskey in London. The brand offers vintage-inspired, feminine dresses and separates featuring bold prints, vibrant colors, and romantic silhouettes. RIXO emphasizes sustainable practices and deadstock fabrics. With flagship stores in London and international stockists, the brand targets fashion-forward women seeking distinctive, joyful pieces that celebrate femininity with environmental consciousness and British design flair.",+44 20 3355 9097,http://www.linkedin.com/company/rixo-london,apparel & fashion,130,32M,2015,United Kingdom,,,,,
Nobody's Child,,,,,,,https://www.nobodyschild.com,"Nobody's Child is a British sustainable fashion brand founded in 2015 in London. The brand offers contemporary womenswear featuring vintage-inspired designs, playful prints, and feminine silhouettes with focus on environmental responsibility. Nobody's Child uses sustainable materials and ethical production practices. Operating primarily online with select retail partnerships, the brand targets conscious consumers seeking affordable, stylish clothing with positive environmental and social impact.",+44 121 336 4685,http://www.linkedin.com/company/nobody-s-child,apparel & fashion,150,82M,2015,United Kingdom,,,,,
Kitri,,,,,,,https://www.kitristudio.com,"Kitri is a British contemporary fashion brand founded in 2017 by sisters Haeni and Gaea Kim in London. The brand offers modern, feminine clothing designed for the everyday lives of city women. Kitri emphasizes versatility, quality, and accessible luxury with clean designs and sophisticated details. With flagship stores in London and e-commerce presence, the brand targets urban professionals seeking refined, wearable pieces that balance femininity with contemporary British design.",+44 20 3886 0690,http://www.linkedin.com/company/kitri,retail,12,,2017,United Kingdom,,,,,
Omnes,,,,,,,https://www.omnes.com,"OMNES is a British sustainable fashion brand founded in 2018, formerly known as Kowtow London. The brand offers contemporary womenswear made from certified organic and sustainable materials with transparent, ethical production. OMNES provides versatile, timeless pieces including dresses, knitwear, and essentials. Operating primarily online, the brand targets environmentally conscious consumers seeking quality, stylish clothing with minimal environmental impact and maximum transparency throughout the supply chain.",+44 20 4634 4553,http://www.linkedin.com/company/omnesclothing,apparel & fashion,38,,2020,United Kingdom,,,,,
Finisterre,,,,,,,https://www.finisterre.com,"Finisterre is a British sustainable outdoor clothing brand founded in 2003 in Cornwall by Tom Kay. The brand specializes in functional, eco-friendly apparel for surfing, sailing, and coastal living. Finisterre emphasizes responsible materials, circular design, and environmental activism. With stores in the UK and strong e-commerce presence, the brand targets outdoor enthusiasts and ocean lovers seeking durable, performance-driven clothing with minimal environmental impact and coastal British heritage.",+44 18 7255 4481,http://www.linkedin.com/company/finisterre,retail,330,34M,2003,United Kingdom,,,,,
Rapanui,,,,,,,https://www.rapanuiclothing.com,"Rapanui is a British sustainable fashion brand founded in 2008 on the Isle of Wight. The brand offers organic, ethically produced basics and custom apparel with complete supply chain transparency. Rapanui operates a circular business model including take-back and recycling programs. Using renewable energy and minimal waste production, the brand targets environmentally conscious consumers seeking quality, durable clothing with verified sustainable credentials and British innovation in circular fashion.",+44 303 123 1113,http://www.linkedin.com/company/rapanui-clothing,apparel & fashion,6,3.9M,,United Kingdom,,,,,
Community Clothing,,,,,,,https://www.communityclothing.co.uk,"Community Clothing is a British social enterprise fashion brand founded in 2016 by Patrick Grant in Blackburn. The brand partners with British factories to produce high-quality garments during off-peak production times, supporting UK manufacturing. Community Clothing offers affordable, well-made essentials including shirting, knitwear, and outerwear. The brand emphasizes fair wages, quality craftsmanship, and accessibility, targeting conscious consumers seeking British-made clothing with social impact and exceptional value.",+44 12 5467 7065,http://www.linkedin.com/company/community-clothing,apparel & fashion,14,,2016,United Kingdom,,,,,
AllSaints,,,,,,,https://www.allsaints.com,"AllSaints is a British fashion brand and retail company founded in 1994 in London. Known for its rock-inspired aesthetic, leather jackets, and contemporary designs for men and women. With over 230 stores worldwide, AllSaints offers modern, edgy fashion combining British heritage with global appeal.",+1 646-862-1832,http://www.linkedin.com/company/allsaints,apparel & fashion,2400,547M,1994,United Kingdom,,,,,
Ted Baker,,,,,,,https://www.tedbaker.com,"Ted Baker is a British luxury fashion brand founded in 1988 by Ray Kelvin in Glasgow. Offering contemporary menswear, womenswear, and accessories known for quality, attention to detail, and quirky British humor. The brand operates globally with stores across UK, Europe, and North America.",+44 20 7255 4903,http://www.linkedin.com/company/ted-baker,apparel & fashion,1500,573.6M,1988,United Kingdom,,,,,
French Connection,,,,,,,https://www.frenchconnection.com,"French Connection is a British fashion brand founded in 1972 by Stephen Marks. The brand offers contemporary clothing and accessories for men and women, blending French style with British design sensibility. Known for bold branding and accessible fashion with international presence.",+44 1792 784150,http://www.linkedin.com/company/french-connection,retail,630,97.9M,1972,United Kingdom,,,,,
Karen Millen,,,,,,,https://www.karenmillen.com,"Karen Millen is a British luxury fashion brand founded in 1981, offering sophisticated womenswear including tailored coats, dresses, and investment pieces. Known for quality craftsmanship and timeless elegance targeting professional women.",+1 415-975-0811,http://www.linkedin.com/company/karen-millen,retail,1200,86M,1981,United Kingdom,,,,,
Massimo Dutti,,,,,,,https://www.massimodutti.com,"Massimo Dutti is a Spanish fashion brand owned by Inditex Group, founded in 1985. Offering premium quality menswear and womenswear with sophisticated, elegant designs. Operating over 750 stores worldwide across Europe, Americas, and Asia.",,http://www.linkedin.com/company/massimodutti,retail,4700,2B,1985,Spain,,,,,
Cos,,,,,,,https://www.cos.com,"COS (Collection of Style) is a fashion brand from the H&M Group offering modern, timeless designs for men, women, and children with minimalist aesthetics and sustainable practices.",+1 410-563-2378,http://www.linkedin.com/company/cos,apparel & fashion,5000,43.2M,2007,United Kingdom,,,,,
Mango,,,,,,,https://www.mango.com,"Mango is a Spanish fashion brand founded in 1984 in Barcelona. Offering contemporary fashion for men, women, and children. With over 2,700 stores in 115+ countries, Mango is one of Europe largest fashion retailers, known for Mediterranean-inspired design and accessible pricing.",+34 938 60 24 24,http://www.linkedin.com/company/mango,apparel & fashion,17000,3.5B,1984,Spain,,,,,
Scotch & Soda,,,,,,,https://www.scotchandsoda.com,"Scotch & Soda is a Dutch fashion brand founded in 1985 in Amsterdam. Offering eclectic, creative menswear, womenswear, and denim collections inspired by global cultures and vintage aesthetics. Known for unique prints, quality fabrics, and distinctive Amsterdamstyle.",+31 20 514 1060,http://www.linkedin.com/company/scotch-&-soda,apparel & fashion,710,365.6M,1985,Netherlands,,,,,
Maison Kitsuné,,,,,,,https://www.maisonkitsune.com,"Maison Kitsuné is a Franco-Japanese lifestyle brand founded in 2002 in Paris. Combining fashion, music, and café culture, offering contemporary ready-to-wear collections with minimalist Parisian aesthetics and Japanese attention to detail.",+33 1 42 62 32 38,http://www.linkedin.com/company/maison-kitsun%c3%a9,apparel & fashion,410,102M,2002,France,,,,,
Isabel Marant,,,,,,,https://www.isabelmarant.com,"Isabel Marant is a French luxury fashion house founded in 1994 by designer Isabel Marant in Paris. Offering bohemian chic womenswear characterized by effortless Parisian style, quality materials, and feminine silhouettes with over 40 boutiques worldwide.",+33 1 73 13 98 40,http://www.linkedin.com/company/isabel-marant,apparel & fashion,950,269M,1994,France,,,,,
AMI Paris,,,,,,,https://www.amiparis.com,"AMI Paris is a French fashion brand founded in 2011 by Alexandre Mattiussi. Offering contemporary menswear and womenswear with relaxed Parisian style, friendly aesthetic, and quality craftsmanship. Known for the Ami de Coeur heart logo.",+33 1 84 17 58 79,http://www.linkedin.com/company/ami-paris,apparel & fashion,620,331M,2011,France,,,,,
A.P.C.,,,,,,,https://www.apc.fr,"A.P.C. (Atelier de Production et de Création) is a French ready-to-wear brand founded in 1987 by Jean Touitou. Known for minimalist design, quality denim, and understated Parisian style with stores worldwide.",+1 212-966-9685,http://www.linkedin.com/company/a-p-c-,textiles,1100,93M,1987,France,,,,,
Belstaff,,,,,,,https://www.belstaff.com,"Belstaff is a British luxury fashion brand founded in 1924, specializing in outerwear and leather jackets. Known for heritage craftsmanship, motorcycle-inspired designs, and waterproof waxed cotton jackets. A cultural icon in British fashion.",+44 20 7242 4377,http://www.linkedin.com/company/belstaff,retail,220,69M,1924,United Kingdom,,,,,
Barbour,,,,,,,https://www.barbour.com,"Barbour is a British luxury fashion brand founded in 1894 in South Shields, England. Specializing in outerwear, particularly waxed cotton jackets. The brand holds Royal Warrants and is iconic in British countryside fashion with global distribution.",+1 603-673-1313,http://www.linkedin.com/company/j-barbour-&-sons-ltd,apparel & fashion,1100,402M,1894,United Kingdom,,,,,
Paul Smith,,,,,,,https://www.paulsmith.com,"Paul Smith is a British luxury fashion brand founded in 1970 by Sir Paul Smith in Nottingham. Known for classic designs with a twist, multicolored stripe signature, and quality tailoring for men and women.",,http://www.linkedin.com/company/paul-smith,luxury goods & jewelry,1200,250M,1970,United Kingdom,,,,,
Joseph,,,,,,,https://www.joseph-fashion.com,"Joseph is a British contemporary fashion brand founded in 1972 by Joseph Ettedgui. Offering luxury womenswear specializing in knitwear, tailoring, and timeless wardrobe essentials with minimalist Parisian-British aesthetic.",+44 20 7610 8438,http://www.linkedin.com/company/joseph-limited,retail,190,4M,1972,United Kingdom,,,,,
Equipment,,,,,,,https://www.equipmentfr.com,"Equipment is a French-American fashion brand founded in 1976, known for luxury silk shirts and contemporary womenswear. The brand combines Parisian elegance with California ease, offering timeless wardrobe staples.",+1 855-832-5643,http://www.linkedin.com/company/new-york-equipment,construction,3,59.2M,,United States,,,,,
Gant,,,,,,,https://www.gant.com,"GANT is a Swedish fashion brand founded in 1949, offering preppy, casual lifestyle clothing for men and women. Known for quality sportswear, shirts, and knitwear inspired by American Ivy League and European craftsmanship.",+46 8 506 760 00,http://www.linkedin.com/company/gant-ab,apparel & fashion,2100,1.5B,1949,Sweden,,,,,
Marc O Polo,,,,,,,https://www.marc-o-polo.com,"Marc O Polo is a Swedish-German fashion brand founded in 1967 in Stockholm. Offering premium casual wear focused on natural materials, Scandinavian aesthetics, and sustainable practices for men and women.",+49 80 36900,http://www.linkedin.com/company/marc-o-polo,apparel & fashion,2300,645M,1967,Germany,,,,,
Norse Projects,,,,,,,https://www.norseprojects.com,Norse Projects is a Danish fashion brand founded in 2004 in Copenhagen. Offering minimalist contemporary menswear and womenswear combining Scandinavian design with functional quality. Known for clean aesthetics and premium fabrications.,+45 33 63 03 33,http://www.linkedin.com/company/norse-projects,apparel & fashion,84,6.3M,2004,Denmark,,,,,
NN07,,,,,,,https://www.nn07.com,"NN07 (No Nationality) is a Danish menswear brand founded in 2007 in Copenhagen. Offering contemporary essentials combining Scandinavian minimalism with global influences. Known for quality fabrics, relaxed fits, and versatile wardrobe staples.",+45 33 37 68 00,http://www.linkedin.com/company/nn-07,apparel & fashion,110,7M,2007,Denmark,,,,,
Our Legacy,,,,,,,https://www.ourlegacy.com,"Our Legacy is a Swedish fashion brand founded in 2005 in Jönköping. Offering progressive menswear and womenswear with experimental designs, quality materials, and unique textures. Known for innovative approach to contemporary fashion.",,http://www.linkedin.com/company/our-legacy,apparel & fashion,94,,2005,Sweden,,,,,
Marimekko,,,,,,,https://www.marimekko.com,"Marimekko is a Finnish design house founded in 1951 in Helsinki. Known for bold prints, vibrant colors, and distinctive patterns across fashion, home décor, and accessories. An iconic Nordic brand celebrating creative expression.",+358 97 5871,http://www.linkedin.com/company/marimekko,apparel & fashion,480,222.3M,1951,Finland,,,,,
Fjällräven,,,,,,,https://www.fjallraven.com,"Fjällräven is a Swedish outdoor brand founded in 1960 by Åke Nordin in Örnsköldsvik. Known for the iconic Kånken backpack, sustainable outdoor clothing, and equipment. Combining nature-inspired design with environmental responsibility.",,http://www.linkedin.com/company/fjallraven,sporting goods,510,30M,1960,Sweden,,,,,
Armedangels,,,,,,,https://www.armedangels.com,ARMEDANGELS is a German sustainable fashion brand founded in 2007 in Cologne. Offering contemporary basics and essentials made from organic and recycled materials with fair production. A leader in European sustainable fashion.,+49 221 2923290,http://www.linkedin.com/company/social-fashion-company-gmbh,apparel & fashion,160,37.4M,2007,Germany,,,,,
Samsøe Samsøe,,,,,,,https://www.samsoe.com,"Samsøe Samsøe is a Danish fashion brand founded in 1993 in Copenhagen. Offering contemporary Scandinavian fashion for men and women with focus on quality, simplicity, and versatile wardrobe essentials. Known for clean designs and sustainable practices.",+45 35 28 50 00,http://www.linkedin.com/company/samsoesamsoe,apparel & fashion,550,1.7M,1993,Denmark,,,,,
Baum und Pferdgarten,,,,,,,https://www.baumundpferdgarten.com,"Baum und Pferdgarten is a Danish fashion brand founded in 1999 by Rikke Baumgarten and Helle Hestehave in Copenhagen. Offering contemporary womenswear with playful prints, bold colors, and feminine silhouettes.",(899) 616-0200,http://www.linkedin.com/company/baum-und-pferdgarten,apparel & fashion,80,,1999,Denmark,,,,,
Lovechild 1979,,,,,,,https://www.lovechild1979.com,"Lovechild 1979 is a Danish fashion brand offering modern womenswear with bohemian influences, quality materials, and Scandinavian design aesthetics.",+45 40 43 14 43,http://www.linkedin.com/company/lovechild1979,apparel & fashion,2,,2009,Denmark,,,,,
Maria Black,,,,,,,https://www.maria-black.com,"Maria Black is a Danish jewelry brand founded in 2010 in Copenhagen. Offering modern, minimalist jewelry and accessories with Scandinavian design sensibility and quality craftsmanship.",+45 40 48 31 52,http://www.linkedin.com/company/maria-black,luxury goods & jewelry,54,,2010,Denmark,,,,,
Gestuz,,,,,,,https://www.gestuz.com,"Gestuz is a Danish fashion brand founded in 2002 in Copenhagen. Offering contemporary womenswear combining Scandinavian aesthetics with urban edge. Known for quality leather goods, modern silhouettes, and trend-forward designs.",,http://www.linkedin.com/company/gestuz,apparel & fashion,20,10.1M,2008,Denmark,,,,,
Custommade,,,,,,,https://www.custommade.dk,"Custommade is a Danish fashion brand founded in 2001 in Copenhagen. Offering feminine ready-to-wear collections with romantic details, quality materials, and Scandinavian elegance for modern women.",+45 35 82 30 00,http://www.linkedin.com/company/custommade,apparel & fashion,10,,2002,Denmark,,,,,
Hosbjerg,,,,,,,https://www.hosbjerg.com,"Hosbjerg is a Danish fashion brand founded in 2016 in Copenhagen. Offering colorful, playful collections with bold prints and unique designs targeting young fashion-forward consumers.",+45 29 39 91 09,http://www.linkedin.com/company/hosbjerg,apparel & fashion,5,,2014,Denmark,,,,,
Mads Nørgaard,,,,,,,https://www.madsnorgaard.com,"Mads Nørgaard is a Danish fashion brand founded in 1986 in Copenhagen. Known for iconic striped t-shirts, contemporary basics, and classic Scandinavian design for men, women, and children.",+45 33 32 01 39,http://www.linkedin.com/company/mads-n%c3%b8rgaard-copenhagen,apparel & fashion,73,17.5M,1986,Denmark,,,,,
Won Hundred,,,,,,,https://www.wonhundred.com,Won Hundred is a Danish fashion brand founded in 2004. Offering sustainable contemporary fashion for men and women with minimalist Scandinavian design and responsible production practices.,,http://www.linkedin.com/company/won-hundred,apparel & fashion,37,4.0M,2004,Denmark,,,,,
Tiger Mist,,,,,,,https://www.tigermist.com.au,"Tiger Mist is an Australian fashion brand with strong European presence, offering trend-driven womenswear including dresses, tops, and accessories for fashion-forward consumers.",,http://www.linkedin.com/company/tigermistcom,apparel & fashion,3,5.5M,2007,Australia,,,,,
Seafolly,,,,,,,https://www.seafolly.com,"Seafolly is an Australian swimwear brand with strong European distribution, offering contemporary swimwear, resort wear, and accessories.",+61 2 8339 8222,http://www.linkedin.com/company/seafolly,apparel & fashion,500,91.5M,1975,Australia,,,,,
Toast,,,,,,,https://www.toa.st,"Toast is a British lifestyle brand founded in 1997 in Wales. Offering thoughtful, contemporary clothing and homeware with focus on quality, craft, and simple living. Known for natural materials, muted palettes, and relaxed silhouettes.",,http://www.linkedin.com/company/toast,retail,340,60M,1997,United Kingdom,,,,,
Thought Clothing,,,,,,,https://www.wearethought.com,"Thought Clothing is a British sustainable fashion brand offering contemporary basics and essentials made from natural, organic, and recycled materials with ethical production practices.",+44 20 7607 1173,http://www.linkedin.com/company/thought-clothing,retail,6,,1995,United Kingdom,,,,,
